"","Country","Region","Happiness_Score","Econonmy_GDP_Per_Capita","Family","Health_Life_Expectancy","Freedom","Trust_Government_Corruption","Generosity","Air_Pollution","Internet_Usage_Index","Cellular_Subscriber_Index","Total_Population","Child_Mortality_Index","Alcohol_Consumption_Index","Birth_Rate_Index","Mental_and_Substance_Disorder_Index","Suicide_Index","Clean_Water_Index","Population_Growth_Rate","HIV_Disease_Index","Obesity_Index","Electricity_Access_Population_Percentage","Compulsory_Education_in_Years","Agricultural_Land_Percentage","Entrepreneurship_Cost_Index","Forest_Area_Land_Percentage","Infant_Immunization_Measles_Index","Automotive_Mortality_Index","Urban_Population_Percentage","Legal_Rights_Index"
"34","Thailand","Southeastern Asia",6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,26.35272294,39.3161267365004,152.731247217946,68657600,1.18950004577637,8.3,1.498,14.3960908721,10.9326657798,97.8,0.325,1.00539410836,9.4,99.6,9,43.2774178394566,6.7,32.0988862573157,99,31.7,50.374,3
"35","Saudi Arabia","Middle East and Northern Africa",6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,106.1617369,69.6162358014004,176.588813181571,31557144,1.4043999671936,0.2,2.579,15.5220147147,3.13455129343,97,2.378,0.020204619332,34.7,100,9,80.7777865645744,5.7,0.454484134921779,98,27.5,83.13,2
"36","Spain","Western Europe",6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,9.738283342,78.6896,108.196562097443,46397664,0.314299988746643,10.6,1.352,18.334462522,6.02493024967,100,-0.188,0.920589328897,23.4,100,10,52.5074265243866,5.2,36.8185089378171,96,3.6,79.579,5
"37","Malta","Western Europe",6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,15.67337266,76.184,129.297906729215,427616,0.529899978637695,7.2,1.443,16.5936781272,4.70609537554,100,0.444,0.295474780552,28.5,100,11,31.96875,14.1,1.09375,89,5.5,95.407,2
"38","Kuwait","Middle East and Northern Africa",6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,67.43349003,82.0791147627883,231.763194665177,3935794,0.990499973297119,0.1,1.9859999,16.3454581357,2.67751340856,99,3.449,0.00243747428932,37.4,100,9,8.38383838383838,2.3,0.350729517396184,93,17.7,98.342,1
"39","Suriname","Latin America and Caribbean",6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,18.47176015,42.763827782511,136.831031112797,553208,2.15690002441406,6.5,2.3959999,16.852523527,25.3523209989,94.8,0.944,0.883355625346,25.9,87.7446746826172,6,0.565384615384615,100.7,98.2820512820513,94,18.7,66.043,2
"40","Trinidad and Tobago","Latin America and Caribbean",6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,14.19016577,69.198470608693,157.672735589372,1360092,2.96469993591309,6.6,1.766,16.134240924,12.0178284683,95.1,0.385,0.736731064405,18,100,6,10.5263157894737,0.7,45.7076023391813,89,13.5,8.445,7
"41","El Salvador","Latin America and Caribbean",6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,37.0047886,26.915075328277,145.255665964623,6312478,1.80370006561279,3.5,2.1010001,14.4998280332,9.44716626042,93.8,0.503,0.298342548622,24,95.4,12,77.3166023166023,43.4,12.7895752895753,95,19,66.726,9
"42","Guatemala","Latin America and Caribbean",6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,34.84767569,27.100000000275,111.481299339149,16252429,2.96940002441406,3.9,3.029,14.6524315713,6.9703999236,92.8,2.027,0.234844979837,20.6,90.5062942504883,10,35.4031354983203,25.1,33.0347144456887,77,19.9,51.571,9
"44","Slovak Republic","Central and Eastern Europe",5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,20.52367065,77.6347057236807,122.310164241156,5439318,0.639300012588501,12.5,1.427,14.4946470102,10.6376493705,100,0.105,0.00512410077183,20.1,100,10,39.9650596896968,1.5,40.3477392787322,95,8.2,53.598,7
"45","Japan","Eastern Asia",5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,13.33416293,91.0580283929962,126.542196657401,127974960,0.284800004959107,7.5,1.444,14.0863274551,17.4363826532,100,-0.162,0.0490022436028,4.1,100,9,12.3326750054861,7.5,68.4606100504718,96,4.7,93.498,5
"47","Ecuador","Latin America and Caribbean",5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,12.84155358,48.9404337892669,79.7734346105814,16144368,2.39939994812012,6.1,2.5139999,14.9729649781,7.94381921896,86.9,1.493,0.227440701205,19.4,98.825883,15,23.3064905781929,22,50.522950555645,84,20.7,63.742,1
"48","Bahrain","Middle East and Northern Africa",5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,55.45435188,93.4783011354165,185.261957188434,1371855,0.816699981689453,2.4,2.056,16.4275634896,6.91510034787,100,3.216,0.0250720259176,29.3,100,9,11.1543450064851,0.8,0.778210116731518,99,7.1,88.775,1
"49","Italy","Western Europe",5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,19.86123293,65.5716,142.117727453833,59504212,0.311800003051758,6.1,1.457,16.8327954827,5.66341448044,100,-0.131,0.578678813216,19.6,100,12,44.0096552661998,14,31.6073978377643,85,5.6,68.964,2
"50","Bolivia","Latin America and Caribbean",5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,27.97140377,45.1,92.1838515991895,10724705,6.55660018920898,5.8,2.921,15.250780081,7.24646210444,90,1.519,0.183029415987,19.7,91.522822,14,34.805224776147,54.9,50.5529400904643,99,23.3,68.512,0
"51","Moldova","Central and Eastern Europe",5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,20.5543623,49.8369395415,108.039651678815,4065980,1.54370002746582,17.4,1.248,16.1668978379,14.9816616401,88.4,-0.127,0.200076679906,18.5,100,9,74.806814724673,4.3,12.442957103742,89,10.7,44.995,8
"52","Paraguay","Latin America and Caribbean",5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,14.853318,48.438687953859,105.389551058433,6639119,3.3935001373291,9.6,2.5090001,17.1124607934,6.61345375423,98,1.301,0.151145191393,19.8,99.331532,13,55.0843191542915,39.9,38.5678328718852,83,23.4,59.666,1
"53","Kazakhstan","Central and Eastern Europe",5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,19.66999774,70.82993359566,156.878943059777,17749648,1.53500003814697,8.2,2.658,14.772938672,24.9039411069,92.9,1.409,0.107376942131,20.5,100,9,80.376338111642,0.5,1.22569174352706,99,23.2,53.247,4
"54","Slovenia","Central and Eastern Europe",5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,20.3499567,73.0987,113.219324847228,2074788.13,0.288899993896484,10.9,1.614,14.9478420453,16.1412169268,99.5,0.169,0.00866607667747,19.8,100,9,30.6171797418073,0,61.9662363455809,94,6.5,49.65,3
"55","Lithuania","Central and Eastern Europe",5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,19.06499459,71.378,139.516380462752,2931926,0.49229998588562,16.2,1.637,16.8576143213,31.3513242738,96.6,-0.913,0.0504753346254,26,100,9,47.9839095872043,0.6,34.7987102129426,94,13,66.508,6
"56","Nicaragua","Latin America and Caribbean",5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,27.3819724,19.704291498993,116.105480531478,6082035,2.14340000152588,4.6,2.2309999,13.8317876038,7.37682970703,87,1.118,0.156915862608,23.1,81.1631393432617,7,42.0890809373442,72.2,25.8766827322586,99,14.9,58.779,1
"57","Peru","Latin America and Caribbean",5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,27.8233501,40.9,109.866905819028,31376672,2.67940006256104,5.2,2.4289999,14.0708601525,3.08721052521,86.7,1.276,0.140821926576,19.3,93.852179,14,19.00828125,9.8,57.79140625,92,13.3,78.609,8
"58","Belarus","Central and Eastern Europe",5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,20.48379252,62.230360906803,123.636003717629,9485772,0.411600017547607,17.1,1.686,17.1440770662,22.9216532731,99.7,-0.025,0.244082473396,24.1,100,9,42.2946133753881,0.9,42.5484204819871,99,12.6,76.667,2
"59","Poland","Central and Eastern Europe",5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,24.28187517,67.997,142.686995913095,38265228,0.493900012969971,11.5,1.308,14.2145354095,14.724917588,98.3,-0.09,0.0401950421494,22.7,100,9,46.9349096965936,12.2,30.8142003331265,96,9.4,60.539,7
"60","Malaysia","Southeastern Asia",5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,15.55640978,71.0640678111957,143.890074560271,30723154,0.744500017166138,1.7,2.056,13.7060149442,8.50132395137,98.2,1.562,0.18299043675,14.9,99.9985885620117,6,23.8593821336174,6.7,67.5544057221123,93,22.3,74.705,7
